Type               ,Version            ,S/N                ,Region             ,
LT24V160A          ,P3.4               ,PI504429           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     68,OPP    ,      0,      0,    5.0,  2.250,    5.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   3431,  58813, -55382,   5845,     20,      0,     19,      0,    272,    309,  20323,    170,   2421,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    131,                   ,    600,     24,     69,       ,OPP    ,     33,   2.01,   2.32,     78,     69,     15,     20,   0.56,Part ch,       ,03/17/2022 09:44:00,03/17/2022 09:59:00,      0,
    130,                   ,    600,     24,     69,       ,OPP    ,     30,   2.01,   2.43,     30,     69,    104,    119,   3.43,Full ch,       ,03/17/2022 11:08:00,03/17/2022 13:17:00,      0,
    129,                   ,    600,     24,     69,       ,OPP    ,     52,   2.06,   2.43,     30,     69,     47,     46,   1.36,Full ch,       ,03/17/2022 14:29:00,03/17/2022 15:33:00,      0,
    128,                   ,    600,     24,     69,       ,OPP    ,     55,   2.06,   2.43,     30,     69,     28,     25,   0.74,Full ch,       ,03/17/2022 16:25:00,03/17/2022 16:56:00,      0,
    127,                   ,    600,     24,     69,       ,OPP    ,     58,   2.07,   2.43,     30,     69,     45,     43,   1.26,Full ch,       ,03/17/2022 17:52:00,03/17/2022 23:23:00,      0,
    126,                   ,    600,     24,     69,       ,OPP    ,     41,   2.03,   2.43,     30,     69,     95,    109,   3.14,Full ch,       ,03/18/2022 02:13:00,03/18/2022 07:15:00,      0,
    125,                   ,    600,     24,     69,       ,OPP    ,     77,   2.10,   2.43,     32,     69,      3,      2,   0.06,Full ch,       ,03/19/2022 01:25:00,03/19/2022 07:19:00,      0,
    124,                   ,    600,     24,     69,       ,OPP    ,     73,   2.09,   2.43,     31,     69,      3,      2,   0.06,Full ch,       ,03/19/2022 16:55:00,03/20/2022 00:04:00,      0,
    123,                   ,    600,     24,     69,       ,EQUAL  ,     76,   2.10,   2.52,     15,     69,    479,    167,   5.18,Full ch,       ,03/20/2022 00:04:00,03/21/2022 07:15:00,      0,
    122,                   ,    600,     24,     69,       ,OPP    ,     41,   2.03,   2.43,     31,     69,     56,     61,   1.80,Full ch,       ,03/21/2022 08:40:00,03/21/2022 10:13:00,      0,
    121,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.43,     40,     69,     80,     93,   2.72,Full ch,       ,03/21/2022 10:19:00,03/21/2022 11:39:00,      0,
    120,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.39,     79,     69,     39,     51,   1.47,Part ch,       ,03/21/2022 13:48:00,03/21/2022 14:28:00,      0,
    119,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.44,     30,     69,     36,     36,   1.05,Full ch,       ,03/21/2022 14:43:00,03/21/2022 15:40:00,      0,
    118,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     28,     28,   0.83,Full ch,       ,03/21/2022 16:29:00,03/21/2022 17:00:00,      0,
    117,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     28,     28,   0.82,Full ch,       ,03/21/2022 17:52:00,03/22/2022 07:08:00,      0,
    116,                   ,    600,     24,     69,       ,OPP    ,     64,   2.08,   2.42,     79,     69,      8,     10,   0.31,Part ch,       ,03/22/2022 08:10:00,03/22/2022 08:18:00,      0,
    115,                   ,    600,     24,     69,       ,OPP    ,     32,   2.01,   2.34,     78,     69,     11,     15,   0.44,Part ch,       ,03/22/2022 09:44:00,03/22/2022 09:57:00,      0,
    114,                   ,    600,     24,     69,       ,OPP    ,     46,   2.03,   2.37,     79,     69,     31,     40,   1.16,Part ch,       ,03/22/2022 11:25:00,03/22/2022 11:56:00,      0,
    113,                   ,    600,     24,     69,       ,OPP    ,     30,   2.00,   2.43,     49,     69,     80,     99,   2.87,Part ch,       ,03/22/2022 14:09:00,03/22/2022 15:29:00,      0,
    112,                   ,    600,     24,     69,       ,OPP    ,     59,   2.07,   2.43,     44,     69,     28,     31,   0.91,Part ch,       ,03/22/2022 16:30:00,03/22/2022 16:59:00,      0,
    111,                   ,    600,     24,     69,       ,OPP    ,     37,   2.02,   2.43,     30,     69,    150,    170,   4.89,Full ch,       ,03/22/2022 17:30:00,03/22/2022 23:17:00,      0,
    110,                   ,    600,     24,     69,       ,OPP    ,     66,   2.08,   2.43,     30,     69,     80,     81,   2.36,Full ch,       ,03/23/2022 00:14:00,03/23/2022 07:09:00,      0,
    109,                   ,    600,     24,     69,       ,OPP    ,     40,   2.02,   2.35,     78,     69,     23,     31,   0.87,Part ch,       ,03/23/2022 09:04:00,03/23/2022 09:28:00,      0,
    108,                   ,    600,     24,     69,       ,OPP    ,     62,   2.07,   2.42,     78,     69,     30,     39,   1.14,Part ch,       ,03/23/2022 09:41:00,03/23/2022 10:12:00,      0,
    107,                   ,    600,     24,     69,       ,OPP    ,     49,   2.04,   2.20,      0,     69,     22,     27,   0.78,Part ch,       ,03/23/2022 10:18:00,03/23/2022 10:41:00,      0,
    106,                   ,    600,     24,     69,       ,OPP    ,     57,   2.07,   2.43,     54,     69,     30,     36,   1.06,Part ch,       ,03/23/2022 11:28:00,03/23/2022 11:59:00,      0,
    105,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     33,     69,     57,     60,   1.74,Full ch,       ,03/23/2022 14:33:00,03/23/2022 15:32:00,      0,
    104,                   ,    600,     24,     69,       ,OPP    ,     62,   2.07,   2.43,     36,     69,     19,     18,   0.53,Part ch,       ,03/23/2022 16:37:00,03/23/2022 16:57:00,      0,
    103,                   ,    600,     24,     69,       ,OPP    ,     37,   2.02,   2.43,     30,     69,    156,    176,   5.04,Full ch,       ,03/23/2022 17:35:00,03/23/2022 23:05:00,      0,
    102,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     86,     94,   2.73,Full ch,       ,03/24/2022 02:06:00,03/24/2022 07:08:00,      0,
    101,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.43,     30,     69,     41,     41,   1.20,Full ch,       ,03/24/2022 09:50:00,03/24/2022 12:06:00,      0,
    100,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     51,     55,   1.61,Full ch,       ,03/24/2022 14:39:00,03/24/2022 15:34:00,      0,
     99,                   ,    600,     24,     69,       ,OPP    ,     64,   2.08,   2.43,     30,     69,     17,     14,   0.41,Full ch,       ,03/24/2022 16:31:00,03/24/2022 17:01:00,      0,
     98,                   ,    600,     24,     69,       ,OPP    ,     32,   2.01,   2.44,     30,     69,     98,    112,   3.23,Full ch,       ,03/24/2022 23:29:00,03/25/2022 17:00:00,      0,
     97,                   ,    600,     24,     69,       ,OPP    ,     54,   2.06,   2.43,     73,     69,     45,     59,   1.73,Part ch,       ,03/28/2022 07:14:00,03/28/2022 08:00:00,      0,
     96,                   ,    600,     24,     69,       ,OPP    ,     47,   2.04,   2.37,     78,     69,     24,     31,   0.90,Part ch,       ,03/28/2022 10:17:00,03/28/2022 10:41:00,      0,
     95,                   ,    600,     24,     69,       ,OPP    ,     24,   1.99,   2.43,     30,     69,    178,    208,   5.97,Full ch,       ,03/28/2022 13:50:00,03/28/2022 22:57:00,      0,
     94,                   ,    600,     24,     69,       ,OPP    ,     59,   2.07,   2.43,     30,     69,     56,     58,   1.70,Full ch,       ,03/29/2022 02:05:00,03/29/2022 07:09:00,      0,
     93,                   ,    600,     24,     69,       ,OPP    ,     63,   2.08,   2.43,     60,     69,     15,     18,   0.55,Part ch,       ,03/29/2022 07:52:00,03/29/2022 08:07:00,      0,
     92,                   ,    600,     24,     69,       ,OPP    ,     55,   2.06,   2.43,     78,     69,     22,     29,   0.85,Part ch,       ,03/29/2022 10:14:00,03/29/2022 10:37:00,      0,
     91,                   ,    600,     24,     69,       ,OPP    ,     33,   2.01,   2.30,     78,     69,     38,     50,   1.41,Part ch,       ,03/29/2022 13:46:00,03/29/2022 14:25:00,      0,
     90,                   ,    600,     24,     69,       ,OPP    ,     55,   2.06,   2.43,     44,     69,      9,      9,   0.28,Part ch,       ,03/29/2022 16:49:00,03/29/2022 16:59:00,      0,
     89,                   ,    600,     24,     69,       ,OPP    ,     22,   1.99,   2.30,     79,     69,     64,     85,   2.35,Part ch,       ,03/29/2022 17:06:00,03/29/2022 18:11:00,      0,
     88,                   ,    600,     24,     69,       ,OPP    ,     58,   2.07,   2.43,     30,     69,     60,     59,   1.73,Full ch,       ,03/30/2022 02:54:00,03/30/2022 07:11:00,      0,
     87,                   ,    600,     24,     69,       ,OPP    ,     90,   2.13,   2.43,     30,     69,     15,     10,   0.30,Full ch,       ,03/30/2022 08:42:00,03/30/2022 09:24:00,      0,
     86,                   ,    600,     24,     69,       ,OPP    ,     51,   2.05,   2.35,     78,     69,     19,     24,   0.69,Part ch,       ,03/30/2022 10:16:00,03/30/2022 10:35:00,      0,
     85,                   ,    600,     24,     69,       ,OPP    ,     22,   1.99,   2.30,     79,     69,     65,     86,   2.38,Part ch,       ,03/30/2022 16:38:00,03/30/2022 17:44:00,      0,
     84,                   ,    600,     24,     69,       ,OPP    ,     38,   2.02,   2.43,     30,     69,    161,    173,   5.00,Full ch,       ,03/31/2022 02:11:00,03/31/2022 07:13:00,      0,
     83,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.36,     78,     69,     24,     32,   0.91,Part ch,       ,03/31/2022 10:16:00,03/31/2022 10:41:00,      0,
     82,                   ,    600,     24,     69,       ,OPP    ,     13,   1.97,   2.26,     79,     69,     41,     54,   1.48,Part ch,       ,03/31/2022 17:09:00,03/31/2022 17:51:00,      0,
     81,                   ,    600,     24,     69,       ,OPP    ,     20,   1.99,   2.44,     30,     69,    205,    230,   6.61,Full ch,       ,04/01/2022 01:38:00,04/01/2022 07:17:00,      0,
     80,                   ,    600,     24,     69,       ,OPP    ,     30,   2.01,   2.36,     78,     69,     17,     22,   0.63,Part ch,       ,04/02/2022 07:20:00,04/02/2022 07:37:00,      0,
     79,                   ,    600,     24,     69,       ,OPP    ,     57,   2.07,   2.43,     30,     69,     89,     93,   2.72,Full ch,       ,04/02/2022 16:58:00,04/03/2022 00:04:00,      0,
     78,                   ,    600,     24,     69,       ,EQUAL  ,     85,   2.12,   4.15,      0,     69,    450,    157,   4.82,Full ch,DF5    ,04/03/2022 00:04:00,04/03/2022 07:35:00,    512,
     77,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.44,     35,     69,      3,      3,   0.09,Full ch,       ,04/03/2022 07:39:00,04/03/2022 07:47:00,      0,
     76,                   ,    600,     24,     69,       ,EQUAL  ,     99,   2.25,   2.47,     15,     69,    479,    167,   5.09,Full ch,       ,04/03/2022 07:47:00,04/04/2022 07:28:00,      0,
     75,                   ,    600,     24,     69,       ,OPP    ,     32,   2.01,   2.43,     30,     69,    112,    130,   3.77,Full ch,       ,04/04/2022 13:47:00,04/05/2022 07:14:00,      0,
     74,                   ,    600,     24,     69,       ,OPP    ,     65,   2.08,   2.43,     57,     69,     19,     23,   0.68,Full ch,       ,04/05/2022 07:59:00,04/05/2022 08:18:00,      0,
     73,                   ,    600,     24,     69,       ,OPP    ,     51,   2.05,   4.04,      0,     69,     19,     23,   0.67,Full ch,       ,04/05/2022 10:19:00,04/05/2022 10:39:00,  16384,
     72,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.44,     30,     69,    131,    138,   4.03,Full ch,       ,04/06/2022 02:18:00,04/06/2022 07:31:00,      0,
